id,customer_id,customer_name,order_id,order_date,total_amount,paid_amount,unpaid_amount,due_date,write_off,status,note
AR00056,C00001,龍潭總倉,SO00052,2026/1/6,3500,0,3500,2026/1/6,0,未收款,
AR00057,C00001,龍潭總倉,SO00053,2026/1/6,2310,0,2310,2026/1/6,0,未收款,
AR00058,C00001,龍潭總倉,SO00054,2026/1/6,1050,0,1050,2026/1/6,0,未收款,
AR00059,C00001,龍潭總倉,SO00055,2026/1/7,3456,0,3456,2026/1/7,0,未收款,
AR00060,C00001,龍潭總倉,SO00056,2026/1/7,728,0,728,2026/1/7,0,未收款,
AR00061,C00001,龍潭總倉,SO00057,2026/1/7,7182,0,7182,2026/1/7,0,未收款,
AR00062,C00001,龍潭總倉,SO00058,2026/1/7,3904,0,3904,2026/1/7,0,未收款,
AR00063,C00001,龍潭總倉,SO00059,2026/1/7,2080,0,2080,2026/1/7,0,未收款,
AR00064,C00001,龍潭總倉,SO00060,2026/1/8,4510,0,4510,2026/1/8,0,未收款,
AR00065,C00001,龍潭總倉,SO00061,2026/1/8,8120,0,8120,2026/1/8,0,未收款,
AR00066,C00001,龍潭總倉,SO00062,2026/1/9,11252,0,11252,2026/1/9,0,未收款,
AR00067,C00001,龍潭總倉,SO00063,2026/1/13,16576,0,16576,2026/1/13,0,未收款,
AR00068,C00001,龍潭總倉,SO00064,2026/1/14,4725,0,4725,2026/1/14,0,未收款,
AR00069,C00001,龍潭總倉,SO00065,2026/1/14,605,0,605,2026/1/14,0,未收款,
AR00070,C00001,龍潭總倉,SO00066,2026/1/19,12470,0,12470,2026/1/19,0,未收款,
AR00071,C00018,點22-三峽,SO00067,2026/2/25,4473,4473,0,2026/2/25,0,已收款,
AR00072,C00003,中山店,SO00068,2026/2/25,2731.9,0,2731.9,2026/2/25,0,未收款,
AR00073,C00009,福來許/ 咖啡館,SO00069,2026/2/25,4603.4,0,4603.4,2026/2/25,0,未收款,
AR00074,C00005,蘇記-港式脆皮臭豆腐、點心,SO00070,2026/2/25,7687,0,7687,2026/2/25,0,未收款,
